SEGMENT_ID,Shape_Leng,shape_wkt,StartX,StartY,EndX,EndY
1,0.0005336980069,"MULTILINESTRING ((-71.056734845999983 42.340773606000027, -71.056324651999944 42.341115036000076))",-71.05673485,42.34077361,-71.05632465,42.34111504
2,0.0005149470453,"MULTILINESTRING ((-71.056324651999944 42.341115036000076, -71.055938036999976 42.341455182000061))",-71.05632465,42.34111504,-71.05593804,42.34145518
3,0.0005700273144,"MULTILINESTRING ((-71.055938036999976 42.341455182000061, -71.05550336999994 42.341823958000077))",-71.05593804,42.34145518,-71.05550337,42.34182396
4,0.0006301261187,"MULTILINESTRING ((-71.05550336999994 42.341823958000077, -71.055019437999988 42.34222752800008))",-71.05550337,42.34182396,-71.05501944,42.34222753
5,0.0005736380089,"MULTILINESTRING ((-71.055019437999988 42.34222752800008, -71.054579454999953 42.342595598000059))",-71.05501944,42.34222753,-71.05457945,42.3425956
6,0.0003946482638,"MULTILINESTRING ((-71.054579454999953 42.342595598000059, -71.054279178999934 42.342851687000064))",-71.05457945,42.3425956,-71.05427918,42.34285169
7,0.0007728247273,"MULTILINESTRING ((-71.054279178999934 42.342851687000064, -71.053777640999954 42.343290856000067, -71.053707030999988 42.343370161000053))",-71.05427918,42.34285169,-71.05370703,42.34337016
10,0.0004386373222,"MULTILINESTRING ((-71.049749324999937 42.348726993000071, -71.049479813999938 42.349073066000074))",-71.04974932,42.34872699,-71.04947981,42.34907307
